,Полный адресс,lat,lon,ближайшее_метро,расстояние_км,расстояние_м
371,"Эдварда Грига ул., з/у 9А, д. 27, к. 27.1",55.555474,37.507807,Потапово,0.965975833516842,966
372,"Саларьево дер., к. 68.3",55.6221133,37.4260893,Саларьево,0.12216644670492739,122
373,"Филимонковское пос., Староселье дер., к. 11  Сити ",55.554601564009,37.316937955331,Аэропорт Внуково,6.131486763039732,6131
375,"Внуковское пос., ТПУ ""Рассказовка"" тер., з/у 13/6А, 13/9А, к. 3  3 оч. ",55.632720098013,37.285687913728,Пыхтино,1.1574472634853317,1157
378,"Столбово дер., з/у 41/1Г, д. 6, к. 6.3",55.562195,37.47103,Новомосковская,0.2724044765418618,272
379,"Сосенское пос., вблизи Столбово дер., уч. 40/1, к. 13",55.548935,37.461364,Новомосковская,1.3153856421541825,1315
381,"Саларьевская ул., з/у 17, к. 83.3",55.613326,37.410726,Саларьево,1.2769896679428432,1277
382,"Любучанская ул., к. 20",55.493854,37.523761,Бунинская аллея,4.940270879688136,4940
383,"Рассказовка дер., уч. 13/2, к. 3  фаза 16 ",55.6292115,37.3365107,Рассказовка,0.5563987751160863,556
386,"Московский пос., кв-л 70, уч. 78, к. 6  сек. 4 ",55.6021666,37.3466114,Рассказовка,3.628720340657154,3629
388,"Сосенское пос., кв-л 26, з/у 3/3, к. 7.1.3",55.615527,37.482358,Тютчевская,0.3819371007178002,382
389,"Марушкинское пос., 33 кв-л, д. 2",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
390,"Николо-Хованское дер., д. 8.4",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
391,"Рассказовка дер.,  кв-л 19, з/у 2, к. 2  фаза 18 ",55.6339535,37.3343402,Рассказовка,0.06344315876366809,63
392,"Столбово дер., з/у 41/1Г, д. 6, к. 6.6",55.562195,37.47103,Новомосковская,0.2724044765418618,272
393,"Николо-Хованское дер., д. 5.2.1",55.59573020581,37.444635982367,Прокшино,1.264939877069642,1265
394,"Александры Монаховой ул., к. 6.2.1",55.575435899932,37.471678516582,Коммунарка,0.24117463131033637,241
395,"Сосенское пос., вблизи Столбово дер., уч. 40/1, к. 14-1",55.548527882141,37.462561317578,Новомосковская,1.3482866532931188,1348
396,"Александры Монаховой ул., к. 4.2",55.575993591068,37.471047406883,Коммунарка,0.23527873851132605,235
397,"Десна дер., к. 9/2.2",55.528488,37.381432,Новомосковская,6.366928132283905,6367
398,"Столбово дер., з/у 41/1Г, д. 6, к. 6.1",55.562195,37.47103,Новомосковская,0.2724044765418618,272
399,"Газопровод пос., к. Essense  сек. 9, этап 2 ",55.5774027,37.476878,Коммунарка,0.6295981674658245,630
403,"Сосенское пос., кв-л 26, з/у 3/3, к. 11.1.4",55.615527,37.482358,Тютчевская,0.3819371007178002,382
404,"Дудкино дер., к. 2.3",55.630583,37.453711,Румянцево,0.7881055434738827,788
405,"вблизи Николо-Хованское дер., к. 56.2",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
406,"Филимонковское пос., Староселье дер., з/у 1, к. 5  Сити ",55.554601564009,37.316937955331,Аэропорт Внуково,6.131486763039732,6131
407,"Николо-Хованское дер., д. 6.6",55.5950236,37.4431596,Прокшино,1.1495580834007817,1150
408,"Рассказовка дер., Переделкино Ближнее мкр., кв-л 16, к. 2",55.6339535,37.3343402,Рассказовка,0.06344315876366809,63
410,"вблизи Середнево дер., к. 3.1",55.560682,37.292221,Аэропорт Внуково,5.182572246552427,5183
411,"Первый Московский мкр., к. 3  11 оч. ",55.6030466,37.3559853,Филатов Луг,3.25871725890843,3259
414,"Александры Монаховой ул., к. 1.3",55.571509027111,37.47704350846,Коммунарка,0.6685127864863228,669
418,"Александры Монаховой ул., к. 1.1",55.571509027111,37.47704350846,Коммунарка,0.6685127864863228,669
419,"Марушкинское пос., 33 кв-л, уч. 3, д. 3, к. 3.4",55.5991945,37.2385681,Аэропорт Внуково,3.2174799443255098,3217
420,"Николо-Хованское дер., д. 8.1",55.582970018867,37.4681229558,Коммунарка,0.9171241944796586,917
